id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakeDate,movementDate,CatAgeGroup,DogAgeGroup,movementMonth,movementDay,movementYear,intakeMonth,intakeDay,intakeYear
47712,Stray,Maya,Pomeranian/Siberian Husky,Silver,Dog,5 years 4 months.,Female,Adoption,03/23/2017,03/31/2017,Adult,Adult,03,31,2017,03,23,2017
47712,Stray,Maya,Pomeranian/Siberian Husky,Silver,Dog,5 years 4 months.,Female,Adoption,03/23/2017,08/19/2017,Adult,Adult,08,19,2017,03,23,2017
47712,Stray,Maya,Pomeranian/Siberian Husky,Silver,Dog,5 years 4 months.,Female,Reclaimed,03/23/2017,03/30/2018,Adult,Adult,03,30,2018,03,23,2017
47714,Abandoned,Acheron,Pitbull,Grey,Dog,6 years 1 month.,Male,Adoption,03/23/2017,05/20/2017,Adult,Mature,05,20,2017,03,23,2017
47715,Abandoned,Renesmee,Pitbull/Mix,Brown,Dog,7 years 9 months.,Female,Foster,03/23/2017,05/11/2017,Mature,Mature,05,11,2017,03,23,2017
47715,Abandoned,Renesmee,Pitbull/Mix,Brown,Dog,7 years 9 months.,Female,Adoption,03/23/2017,07/09/2017,Mature,Mature,07,09,2017,03,23,2017
47717,Police Assist,Luna,Pitbull/Mix,Black and White,Dog,6 years 3 months.,Female,Adoption,03/23/2017,06/07/2017,Adult,Mature,06,07,2017,03,23,2017
47717,Police Assist,Luna,Pitbull/Mix,Black and White,Dog,6 years 3 months.,Female,Adoption,03/23/2017,01/30/2018,Adult,Mature,01,30,2018,03,23,2017
47718,Abandoned,Tank,American Staffordshire Terrier,Black and White,Dog,8 years 3 months.,Male,Adoption,03/23/2017,05/07/2017,Mature,Mature,05,07,2017,03,23,2017
47718,Abandoned,Tank,American Staffordshire Terrier,Black and White,Dog,8 years 3 months.,Male,Adoption,03/23/2017,09/15/2017,Mature,Mature,09,15,2017,03,23,2017
47721,Incompatible with owner lifestyle,Smokey,Terrier,Grey and White,Dog,4 years 3 months.,Male,Adoption,03/24/2017,04/05/2017,Adult,Adult,04,05,2017,03,24,2017
47721,Incompatible with owner lifestyle,Smokey,Terrier,Grey and White,Dog,4 years 3 months.,Male,Adoption,03/24/2017,06/29/2017,Adult,Adult,06,29,2017,03,24,2017
47727,Abandoned,Elliot,Terrier/Beagle,Brown,Dog,11 years 4 months.,Male,Adoption,03/24/2017,04/08/2017,Senior,Senior,04,08,2017,03,24,2017
47727,Abandoned,Elliot,Terrier/Beagle,Brown,Dog,11 years 4 months.,Male,Adoption,03/24/2017,11/15/2017,Senior,Senior,11,15,2017,03,24,2017
47728,Abandoned,Moto,Rat Terrier,Black and White,Dog,18 years 3 months.,Male,Adoption,03/24/2017,04/05/2017,Geriatric,Geriatric,04,05,2017,03,24,2017
47730,Abandoned,Beemer,Domestic Short Hair,Orange and White,Cat,3 years 6 months.,Male,Adoption,03/24/2017,04/07/2017,Adult,Adult,04,07,2017,03,24,2017
47738,Biting,Kingston,Australian Shepherd/Border Collie,Black and White,Dog,6 years 0 months.,Male,Reclaimed,03/25/2017,04/04/2017,Adult,Mature,04,04,2017,03,25,2017
47742,Abandoned,Snickers,Mastiff/Mix,Tan,Dog,2 years 7 months.,Male,Adoption,03/25/2017,04/17/2017,Adult,Adult,04,17,2017,03,25,2017
47744,Abandoned,Tara,Pitbull/Labrador Retriever,Black,Dog,4 years 1 month.,Female,Foster,03/25/2017,04/15/2017,Adult,Adult,04,15,2017,03,25,2017
47744,Abandoned,Tara,Pitbull/Labrador Retriever,Black,Dog,4 years 1 month.,Female,Adoption,03/25/2017,05/27/2017,Adult,Adult,05,27,2017,03,25,2017
47747,Abandoned,Jelly,Border Collie/Mix,Black and White,Dog,4 years 5 months.,Female,Foster,03/27/2017,03/29/2017,Adult,Adult,03,29,2017,03,27,2017
47747,Abandoned,Jelly,Border Collie/Mix,Black and White,Dog,4 years 5 months.,Female,Adoption,03/27/2017,05/13/2017,Adult,Adult,05,13,2017,03,27,2017
47748,Abandoned,Peach,Border Collie/Mix,Brown,Dog,3 years 3 months.,Female,Foster,03/27/2017,03/29/2017,Adult,Adult,03,29,2017,03,27,2017
47748,Abandoned,Peach,Border Collie/Mix,Brown,Dog,3 years 3 months.,Female,Adoption,03/27/2017,05/08/2017,Adult,Adult,05,08,2017,03,27,2017
47749,Abandoned,Buster Brown,Border Collie/Mix,Brown and White,Dog,3 years 3 months.,Male,Foster,03/27/2017,04/22/2017,Adult,Adult,04,22,2017,03,27,2017
47749,Abandoned,Buster Brown,Border Collie/Mix,Brown and White,Dog,3 years 3 months.,Male,Adoption,03/27/2017,05/14/2017,Adult,Adult,05,14,2017,03,27,2017
